,0,1,2
116,01.d.04_Heavy,Overlap1,12
134,01.d.04_Heavy,Overlap2,20
137,01.d.04_Heavy,Overlap3,13
154,01.h.02_Heavy,Overlap1,15
167,01.h.02_Heavy,Overlap2,20
174,01.h.02_Heavy,Overlap3,12
192,01.i.01_Heavy,Overlap1,15
200,01.i.01_Heavy,Overlap2,16
211,01.i.01_Heavy,Overlap3,12
229,01.m.01_Heavy,Overlap1,15
244,01.m.01_Heavy,Overlap2,12
255,01.m.01_Heavy,Overlap3,12
273,01.o.02_Heavy,Overlap1,13
288,01.o.02_Heavy,Overlap2,0
316,01.o.02_Heavy,Overlap3,10
0,013_10_4A03,Overlap1,14
16,013_10_4A03,Overlap2,12
34,013_10_4A03,Overlap3,10
53,014_10_1G06,Overlap1,20
59,014_10_1G06,Overlap2,15
66,014_10_1G06,Overlap3,17
79,014_10_3C04,Overlap1,16
83,014_10_3C04,Overlap2,12
101,014_10_3C04,Overlap3,15
336,024_10_4C05,Overlap1,14
352,024_10_4C05,Overlap2,0
377,024_10_4C05,Overlap3,16
391,034-100809_1D05,Overlap1,21
398,034-100809_1D05,Overlap2,15
413,034-100809_1D05,Overlap3,11
432,039_10_5B02,Overlap1,13
449,039_10_5B02,Overlap2,19
460,039_10_5B02,Overlap3,16
491,042_10_2C02,Overlap1,5
496,042_10_2C02,Overlap2,16
510,042_10_2C02,Overlap3,13
527,236-14-IgG_1F03,Overlap1,14
543,236-14-IgG_1F03,Overlap2,15
570,236-14-IgG_1F03,Overlap3,6
574,AG10-A05,Overlap1,15
578,AG10-A05,Overlap2,13
595,AG10-A05,Overlap3,18
607,AG2-B01,Overlap1,12
632,AG2-B01,Overlap2,9
633,AG2-B01,Overlap3,18
645,AG3-D06,Overlap1,12
663,AG3-D06,Overlap2,1
687,AG3-D06,Overlap3,16
701,AG8-3D02,Overlap1,19
712,AG8-3D02,Overlap2,12
724,AG8-3D02,Overlap3,18
736,C05,Overlap1,19
767,C05,Overlap2,9
768,C05,Overlap3,11
787,C1-2-2D06,Overlap1,16
800,C1-2-2D06,Overlap2,13
817,C1-2-2D06,Overlap3,18
829,C2-3-F04,Overlap1,20
858,C2-3-F04,Overlap2,9
859,C2-3-F04,Overlap3,19
870,K77-2A04,Overlap1,20
878,K77-2A04,Overlap2,0
908,K77-2A04,Overlap3,11
927,K77-2A05,Overlap1,0
957,K77-2A05,Overlap2,15
971,K77-2A05,Overlap3,17
984,K77-2D01,Overlap1,12
994,K77-2D01,Overlap2,0
1010,K77-2D01,Overlap3,12
1028,SFV020_5C05,Overlap1,19
1045,SFV020_5C05,Overlap2,8
1047,SFV020_5C05,Overlap3,13
1064,W85-1F04,Overlap1,21
1073,W85-1F04,Overlap2,0
1102,W85-1F04,Overlap3,10
