,0,1,2
0,014_10_3C04,Overlap1,18
32,014_10_3C04,Overlap2,4
32,014_10_3C04,Overlap3,14
48,150055-015_1D02,Overlap1,15
69,150055-015_1D02,Overlap2,24
63,150055-015_1D02,Overlap3,12
81,150055-023_2E04,Overlap1,18
91,150055-023_2E04,Overlap2,0
117,150055-023_2E04,Overlap3,14
153,150055-029_2B03,Overlap1,9
174,150055-029_2B03,Overlap2,5
184,150055-029_2B03,Overlap3,13
194,236-14-IgG_1A06,Overlap1,12
232,236-14-IgG_1A06,Overlap2,5
244,236-14-IgG_1A06,Overlap3,0
262,56.f.01_Heavy,Overlap1,16
276,56.f.01_Heavy,Overlap2,0
306,56.f.01_Heavy,Overlap3,12
336,AG10-3A02,Overlap1,13
327,AG10-3A02,Overlap2,0
392,AG10-3A02,Overlap3,25
358,AG13-3B01,Overlap1,15
412,AG13-3B01,Overlap2,1
379,AG13-3B01,Overlap3,21
388,AG13-3D02,Overlap1,18
435,AG13-3D02,Overlap2,4
468,AG13-3D02,Overlap3,9
456,AG13-3E04,Overlap1,18
415,AG13-3E04,Overlap2,16
418,AG13-3E04,Overlap3,17
484,AG2-F02,Overlap1,15
523,AG2-F02,Overlap2,10
447,AG2-F02,Overlap3,19
523,AG9-4B03,Overlap1,12
469,AG9-4B03,Overlap2,0
498,AG9-4B03,Overlap3,16
585,C1-2-E05,Overlap1,12
512,C1-2-E05,Overlap2,16
641,C1-2-E05,Overlap3,10
661,K77-1B02,Overlap1,0
541,K77-1B02,Overlap2,21
657,K77-1B02,Overlap3,11
568,K77-1C10,Overlap1,18
580,K77-1C10,Overlap2,1
604,K77-1C10,Overlap3,17
617,K77-1G05,Overlap1,27
620,K77-1G05,Overlap2,21
629,K77-1G05,Overlap3,18
641,K77-2A05,Overlap1,17
762,K77-2A05,Overlap2,0
833,K77-2A05,Overlap3,13
808,K77-2A10,Overlap1,13
684,K77-2A10,Overlap2,0
896,K77-2A10,Overlap3,22
904,R95-1B02,Overlap1,16
727,R95-1B02,Overlap2,0
755,R95-1B02,Overlap3,15
786,R95-2B02,Overlap1,6
790,R95-2B02,Overlap2,11
809,R95-2B02,Overlap3,18
821,R95-2E12,Overlap1,12
839,R95-2E12,Overlap2,0
869,R95-2E12,Overlap3,17
882,W85-1H08,Overlap1,11
1092,W85-1H08,Overlap2,2
901,W85-1H08,Overlap3,12
1068,W85-2A10,Overlap1,15
1141,W85-2A10,Overlap2,7
935,W85-2A10,Overlap3,16
949,W85-2D05,Overlap1,17
977,W85-2D05,Overlap2,9
1208,W85-2D05,Overlap3,9
1157,W85-3B09,Overlap1,18
993,W85-3B09,Overlap2,20
1002,W85-3B09,Overlap3,14
