,0,1,2
0,01.d.04_Heavy,Overlap1,18
8,01.d.04_Heavy,Overlap2,14
24,01.d.04_Heavy,Overlap3,13
38,01.o.02_Heavy,Overlap1,13
53,01.o.02_Heavy,Overlap2,0
102,01.o.02_Heavy,Overlap3,9
86,017_10_5E01,Overlap1,13
99,017_10_5E01,Overlap2,0
166,017_10_5E01,Overlap3,9
167,028-10134_4D06,Overlap1,1
163,028-10134_4D06,Overlap2,20
171,028-10134_4D06,Overlap3,15
217,029_09_2A06,Overlap1,10
191,029_09_2A06,Overlap2,0
232,029_09_2A06,Overlap3,20
205,034-100809_1A03,Overlap1,18
249,034-100809_1A03,Overlap2,0
220,034-100809_1A03,Overlap3,0
259,034-100809_1B02,Overlap1,18
260,034-100809_1B02,Overlap2,18
272,034-100809_1B02,Overlap3,15
304,034-100809_3E01,Overlap1,14
310,034-100809_3E01,Overlap2,5
315,034-100809_3E01,Overlap3,14
331,037-10036_4D02,Overlap1,16
411,037-10036_4D02,Overlap2,6
361,037-10036_4D02,Overlap3,14
407,037-10_5E04,Overlap1,16
403,037-10_5E04,Overlap2,0
447,037-10_5E04,Overlap3,17
414,042_10_4C06,Overlap1,15
429,042_10_4C06,Overlap2,1
451,042_10_4C06,Overlap3,13
468,16.ND.95_Heavy,Overlap1,15
547,16.ND.95_Heavy,Overlap2,18
551,16.ND.95_Heavy,Overlap3,11
492,31.a.55_Heavy,Overlap1,21
499,31.a.55_Heavy,Overlap2,24
500,31.a.55_Heavy,Overlap3,10
548,AG1-A01,Overlap1,16
618,AG1-A01,Overlap2,6
539,AG1-A01,Overlap3,13
639,AG11-2A01,Overlap1,18
651,AG11-2A01,Overlap2,19
657,AG11-2A01,Overlap3,15
672,C1-2A02,Overlap1,15
576,C1-2A02,Overlap2,18
714,C1-2A02,Overlap3,9
603,C1-2D03,Overlap1,21
724,C1-2D03,Overlap2,15
618,C1-2D03,Overlap3,12
624,C1-2E01,Overlap1,13
641,C1-2E01,Overlap2,18
772,C1-2E01,Overlap3,15
787,C1-B01,Overlap1,15
802,C1-B01,Overlap2,19
762,C1-B01,Overlap3,17
826,C1-F02,Overlap1,18
719,C1-F02,Overlap2,0
704,C1-F02,Overlap3,17
717,C6-2-2C06,Overlap1,21
883,C6-2-2C06,Overlap2,0
738,C6-2-2C06,Overlap3,17
751,FluA-152,Overlap1,18
753,FluA-152,Overlap2,0
783,FluA-152,Overlap3,15
798,K77-2H08,Overlap1,16
815,K77-2H08,Overlap2,2
826,K77-2H08,Overlap3,17
839,K77-2H12,Overlap1,0
1048,K77-2H12,Overlap2,14
982,K77-2H12,Overlap3,15
1072,R95-2C07,Overlap1,0
891,R95-2C07,Overlap2,0
914,R95-2C07,Overlap3,20
