,0,1,2
0,014_10_1B04,Overlap1,14
16,014_10_1B04,Overlap2,0
46,014_10_1B04,Overlap3,15
61,034-100809_1F05,Overlap1,18
92,034-100809_1F05,Overlap2,7
115,034-100809_1F05,Overlap3,9
116,042-100809_2F04,Overlap1,23
123,042-100809_2F04,Overlap2,20
133,042-100809_2F04,Overlap3,12
151,045_09_1F04,Overlap1,18
161,045_09_1F04,Overlap2,0
192,045_09_1F04,Overlap3,14
203,045_09_1G05,Overlap1,18
215,045_09_1G05,Overlap2,14
231,045_09_1G05,Overlap3,14
247,051_09_5B06,Overlap1,14
288,051_09_5B06,Overlap2,5
285,051_09_5B06,Overlap3,0
315,16.ND.89_Heavy,Overlap1,27
318,16.ND.89_Heavy,Overlap2,0
362,16.ND.89_Heavy,Overlap3,6
366,240-14-IgG_2E03,Overlap1,15
371,240-14-IgG_2E03,Overlap2,0
402,240-14-IgG_2E03,Overlap3,9
400,56.b.16_Heavy,Overlap1,10
415,56.b.16_Heavy,Overlap2,0
435,56.b.16_Heavy,Overlap3,20
445,AG12-C06,Overlap1,14
460,AG12-C06,Overlap2,0
490,AG12-C06,Overlap3,17
503,C7-3-C02,Overlap1,17
519,C7-3-C02,Overlap2,0
541,C7-3-C02,Overlap3,27
544,K77-1B01,Overlap1,22
547,K77-1B01,Overlap2,18
548,K77-1B01,Overlap3,12
566,K77-1C11,Overlap1,15
581,K77-1C11,Overlap2,0
609,K77-1C11,Overlap3,12
647,K77-1C12,Overlap1,3
677,K77-1C12,Overlap2,0
654,K77-1C12,Overlap3,12
692,K77-1D04,Overlap1,9
693,K77-1D04,Overlap2,0
725,K77-1D04,Overlap3,5
726,K77-1E06,Overlap1,17
765,K77-1E06,Overlap2,0
757,K77-1E06,Overlap3,14
773,K77-1G05,Overlap1,14
789,K77-1G05,Overlap2,20
836,K77-1G05,Overlap3,14
814,K77-2A03,Overlap1,17
827,K77-2A03,Overlap2,14
834,K77-2A03,Overlap3,15
849,K77-2H01,Overlap1,15
864,K77-2H01,Overlap2,0
894,K77-2H01,Overlap3,18
906,R95-2A09,Overlap1,12
971,R95-2A09,Overlap2,5
932,R95-2A09,Overlap3,12
950,R95-2G09,Overlap1,14
966,R95-2G09,Overlap2,0
996,R95-2G09,Overlap3,15
1031,W85-1A11,Overlap1,6
1035,W85-1A11,Overlap2,15
1037,W85-1A11,Overlap3,16
1100,W85-1E04,Overlap1,0
1142,W85-1E04,Overlap2,9
1083,W85-1E04,Overlap3,12
1121,W85-1F07,Overlap1,9
1122,W85-1F07,Overlap2,0
1152,W85-1F07,Overlap3,25
1194,W85-2B03,Overlap1,6
1187,W85-2B03,Overlap2,9
1188,W85-2B03,Overlap3,12
