,0,1,2
0,01.m.01_Heavy,Overlap1,0
16,01.m.01_Heavy,Overlap2,0
31,01.m.01_Heavy,Overlap3,0
63,034-100809_2E03,Overlap1,0
88,034-100809_2E03,Overlap2,0
120,034-100809_2E03,Overlap3,0
176,042_10_2B05,Overlap1,15
148,042_10_2B05,Overlap2,0
187,042_10_2B05,Overlap3,0
247,045_09_1A01,Overlap1,11
117,045_09_1A01,Overlap2,0
294,045_09_1A01,Overlap3,12
312,045_09_1G05,Overlap1,0
177,045_09_1G05,Overlap2,0
331,045_09_1G05,Overlap3,0
402,051_09_4D03,Overlap1,15
287,051_09_4D03,Overlap2,0
447,051_09_4D03,Overlap3,12
465,051_10_4G03,Overlap1,0
366,051_10_4G03,Overlap2,0
396,051_10_4G03,Overlap3,0
558,240-14-IgG_2E03,Overlap1,6
300,240-14-IgG_2E03,Overlap2,0
509,240-14-IgG_2E03,Overlap3,0
622,AG10-3C01,Overlap1,17
383,AG10-3C01,Overlap2,0
577,AG10-3C01,Overlap3,0
694,AG11-2F01,Overlap1,14
374,AG11-2F01,Overlap2,0
651,AG11-2F01,Overlap3,0
770,AG11-3F04,Overlap1,13
787,AG11-3F04,Overlap2,0
817,AG11-3F04,Overlap3,0
627,AG11-E04,Overlap1,0
467,AG11-E04,Overlap2,0
551,AG11-E04,Overlap3,0
937,AG8-2D02,Overlap1,17
836,AG8-2D02,Overlap2,0
1000,AG8-2D02,Overlap3,9
1011,C1-2-2F03,Overlap1,2
533,C1-2-2F03,Overlap2,0
1059,C1-2-2F03,Overlap3,0
977,K77-1B07,Overlap1,0
740,K77-1B07,Overlap2,0
1149,K77-1B07,Overlap3,12
1002,K77-1B08,Overlap1,0
625,K77-1B08,Overlap2,0
1062,K77-1B08,Overlap3,0
1257,K77-1F06,Overlap1,15
741,K77-1F06,Overlap2,0
1301,K77-1F06,Overlap3,11
1320,K77-1F11,Overlap1,17
915,K77-1F11,Overlap2,0
1363,K77-1F11,Overlap3,0
1413,K77-2D01,Overlap1,8
760,K77-2D01,Overlap2,0
1255,K77-2D01,Overlap3,0
1475,K77-2E05,Overlap1,15
900,K77-2E05,Overlap2,0
1387,K77-2E05,Overlap3,0
1570,K77-2H01,Overlap1,8
1572,K77-2H01,Overlap2,0
1397,K77-2H01,Overlap3,0
1632,R95-2A05,Overlap1,15
1135,R95-2A05,Overlap2,0
1677,R95-2A05,Overlap3,11
1486,R95-2F07,Overlap1,0
1516,R95-2F07,Overlap2,0
1546,R95-2F07,Overlap3,0
1786,W85-1G05,Overlap1,17
973,W85-1G05,Overlap2,0
1829,W85-1G05,Overlap3,11
1293,W85-2F05,Overlap1,0
1438,W85-2F05,Overlap2,0
1908,W85-2F05,Overlap3,0
